tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,streaming_tv,num_complaints,satisfaction_score,churned
14,49.175424920344014,2254.624634403368,2,0,1,0,0,9,1,0
55,59.87181241726719,1811.6789047479874,0,2,2,0,1,9,3,0
67,51.59959141202999,8084.927821471662,1,2,0,0,0,2,1,0
5,49.99337492368936,1458.0809175194324,0,0,0,1,0,2,4,0
69,66.4016632366284,826.7106337884519,1,3,2,0,0,8,1,0
59,115.07975657751781,463.4959135642186,1,1,2,0,1,0,3,1
9,147.24061854174676,497.4884734065595,2,0,0,1,0,5,3,0
48,88.45564374160236,5512.060934749769,1,1,0,0,1,5,4,0
37,100.32127966930787,1030.4538078509008,1,0,1,1,0,9,1,0
68,162.63082644616816,2302.0233987146717,2,1,1,0,1,7,3,0
20,114.53932282837847,8343.500932826822,0,3,0,1,1,7,2,0
50,126.15999125989504,9684.268131039535,0,1,1,0,0,0,3,0
24,113.23524149727646,8622.493321103522,0,0,2,1,0,6,1,1
71,162.15020769513225,9600.065783325515,1,3,2,0,1,9,2,0
49,53.0267353441611,6737.468353149624,1,0,0,0,1,0,3,0
8,196.6253322047331,9873.442569608285,2,0,2,0,1,7,3,0
6,178.29709256600128,5013.803894896115,2,2,1,1,1,4,3,0
40,92.04683135952726,7967.413925427788,2,1,1,0,1,1,3,1
54,94.71654327309149,9719.461581539943,0,0,0,0,1,2,3,0
17,172.8188951842739,7121.983135701949,1,3,1,0,1,8,1,0
51,100.2016335999556,9571.527847644478,2,3,0,0,0,1,3,0
2,111.46939699488173,2611.0815120267844,1,3,1,0,1,3,4,0
30,154.27567051756614,3072.727270166613,2,2,1,0,1,6,2,0
32,89.83817394062629,4032.677317333412,2,0,1,1,1,7,3,0
50,101.72340459370324,4699.408895003646,0,3,0,0,0,2,3,0
71,26.681406241958555,8984.306694037357,0,2,0,0,1,9,1,0
16,43.9724172999797,8889.838304025992,1,3,1,0,1,9,1,0
55,102.55869260109226,6613.805616579718,1,2,1,0,0,8,2,0
57,28.219607792905112,2399.787633061,2,1,1,0,1,7,1,1
45,75.26237342002017,2479.735090249303,0,0,2,0,0,5,4,0
52,98.70393127603566,6354.258347627747,1,3,2,0,1,7,2,0
71,38.29112417349894,5083.540999244102,0,2,1,1,0,9,4,1
47,31.75859635029232,2659.474812211536,1,0,2,0,0,7,3,1
33,22.930472281455213,1765.5484661316295,1,1,1,1,0,2,1,0
24,107.35807353765964,7253.992011765247,0,2,2,1,1,6,3,0
35,46.43032005546422,8150.993878184841,1,3,2,0,1,7,4,0
64,143.94738298429326,2686.9183387610838,1,0,1,1,0,5,3,1
60,108.72929065759038,4306.732943273698,0,1,0,1,0,5,1,0
29,23.408673978523357,7163.592307412665,0,1,2,0,1,6,1,0
18,30.62626366795066,4745.295114603536,1,2,0,0,1,3,1,0
58,185.20103107566442,9616.444995548558,1,1,2,1,0,9,3,0
48,42.380256907173404,1383.032190392691,0,3,0,0,0,9,1,1
11,156.31832217948883,8558.04257076488,1,2,0,1,0,8,2,0
3,64.32885761822149,3130.126909646946,1,1,1,0,1,2,2,0
42,77.88194641585989,6901.764283947346,1,0,0,0,0,6,1,1
18,24.462361058654928,2611.5808106329923,2,3,2,0,0,8,2,0
16,120.10674338478294,9668.04938700117,0,0,1,0,0,7,4,1
41,104.06801083035138,596.3292167102248,2,1,1,1,1,6,1,0
65,154.09181749177952,5184.356334214502,2,3,1,0,1,4,3,0
43,183.02407402359597,9114.08143961827,2,0,0,0,1,1,2,0
43,118.58758385476965,4751.420528205742,2,1,0,0,1,1,2,0
31,191.40801651367576,8419.427961141724,1,3,2,0,1,3,2,0
28,46.66650709968266,9503.303503571742,2,3,2,1,1,4,2,1
51,82.0362131689756,771.5677737080867,2,3,2,0,0,3,4,0
27,169.37151908811546,4939.192365113949,0,1,2,1,1,1,4,1
9,119.59659861394545,6895.583253062845,1,1,2,0,1,3,4,1
38,118.45486875670743,8338.557151877529,1,3,1,0,1,4,2,0
36,102.86944899863964,1715.2408985720988,0,3,0,1,0,3,4,1
60,23.359922073726135,5711.17216872225,1,3,1,0,0,5,3,0
57,34.46125458025455,1712.9256281773942,1,1,0,0,1,9,4,0
47,36.112638571239124,7578.4283495431555,0,2,1,0,1,6,2,0
68,54.10249072307548,2917.9071634936904,1,0,0,0,1,4,1,1
51,36.969682445704265,2761.298412166833,2,0,2,0,1,8,2,1
58,39.18868718458113,7721.038141932043,2,0,1,0,0,3,1,1
48,134.6403071685599,8435.87442613661,2,2,2,1,0,9,4,0
59,41.30249284525128,3499.0296289811486,0,1,1,1,0,1,4,0
47,103.70590698855229,5060.914828440601,1,3,1,0,0,9,1,0
15,31.363255259413567,6965.2594702918395,1,3,1,0,1,7,3,0
2,68.49326910690715,7477.184634940441,1,2,2,1,0,3,2,0
61,186.38287210191154,7724.168268610005,1,0,2,0,0,3,3,0
40,25.5812282961948,3964.838778967803,0,1,1,0,0,2,2,1
43,177.85311915603216,5409.7844257197,1,1,1,0,0,8,2,1
48,156.72966638113274,1184.5164450069065,0,1,1,0,0,3,3,0
69,185.76490195911975,9490.661443599003,2,3,1,0,0,1,3,0
57,161.63688426005845,7044.0172462291375,0,0,2,0,0,0,1,0
68,168.71222474885695,3817.9707918109575,1,0,0,0,0,0,4,1
12,39.39029836243807,3957.1622633435386,0,2,0,1,0,7,4,1
68,170.39830984340406,995.7924085020443,1,0,1,0,1,0,1,1
51,105.88178082067854,4623.539353988172,0,3,1,1,0,4,1,1
29,83.28423400495336,6762.937074713435,1,3,0,0,0,7,4,0
29,47.69444697223096,9530.289950411167,2,1,0,1,0,6,3,0
13,20.120540294128745,6511.105206863132,2,1,1,1,1,6,4,0
57,135.673238469313,6542.04354284321,0,0,1,0,0,7,2,1
46,150.68398070264314,7885.497757406101,2,1,0,0,1,2,1,0
20,89.85597401522793,5147.070051549923,1,1,2,0,0,4,4,0
59,49.563986663716335,418.1749524727028,2,2,1,1,0,1,3,0
36,46.02185008408645,8909.58900092748,2,1,0,1,0,4,4,0
1,50.282800497320395,4084.466557895207,2,1,2,0,0,4,1,0
3,30.11749516790453,9848.181001537958,2,0,0,0,1,1,2,0
44,84.73662731736823,4123.140914339838,1,0,1,0,0,9,3,1
55,130.90905064297237,6716.51155285994,2,1,0,0,1,5,3,0
60,100.47929897089338,4652.747870543697,2,2,1,0,1,0,2,0
3,42.58660043993268,2400.9527199912413,0,3,2,0,0,7,3,0
63,166.90691285275216,9314.638027846699,1,3,2,0,1,0,3,1
31,71.67011961221598,6309.183775096993,0,3,1,1,1,2,4,0
61,128.48238067774372,4560.164889071593,0,2,1,0,0,0,3,0
49,64.2230904731437,1527.2580627607554,0,1,1,0,0,1,1,0
44,127.09827549672151,9991.160009449814,2,3,2,0,0,6,2,0
52,43.33827566660098,8961.941495621164,2,1,0,1,0,6,1,1
31,137.98997609902023,4285.5722904480435,0,1,1,1,0,4,2,1
49,123.16953712051618,1797.4273586400082,1,1,2,0,1,4,3,1
46,113.47273108265382,393.89738851382134,1,3,2,1,1,6,2,0
54,59.075917900520665,1603.1680913941952,0,2,0,1,0,9,3,0
11,115.2485611189777,5390.848494243843,1,2,1,1,0,9,3,0
65,181.47881691833925,8176.344222817573,0,2,0,1,0,4,2,0
17,42.54771304771624,3698.8648852485176,2,2,1,0,0,7,3,0
28,146.67072440055648,4396.414521331515,2,1,1,0,0,2,1,0
9,40.46826449324617,4785.39208670589,2,3,1,1,0,1,2,0
34,80.86775266759176,274.0064390127685,1,2,0,1,0,9,2,0
20,143.08954747397786,1852.705814755249,0,2,2,0,0,3,2,0
3,120.84159219195139,5058.997018024018,1,2,2,0,0,6,3,0
1,142.0874548989511,2865.9950410060337,1,0,2,0,0,8,1,1
60,193.4044380127715,5280.897161509783,2,1,2,0,0,2,2,0
50,194.5297984052838,1170.1908398620387,1,2,1,0,0,2,3,0
8,184.67640315827435,8047.8713063800415,0,1,0,0,0,6,4,0
18,109.0694210001634,7859.070030893184,1,1,1,1,1,0,4,0
30,81.3875011683374,6731.604537106356,2,1,1,1,1,6,4,1
22,70.32661559795446,5361.254618778415,1,0,0,1,0,1,1,0
9,123.62406603457656,3959.8476940264486,0,0,1,0,0,9,3,0
22,101.64423139106582,6858.268246734816,1,2,0,1,0,0,3,0
10,199.01444463790156,7840.008964898719,0,1,1,0,0,9,4,1
67,116.40354068101506,8105.06488279942,0,0,2,0,0,8,1,0
9,79.21716779050917,3541.049234928413,2,3,1,1,0,0,3,1
47,134.47244811373056,2020.093005178931,2,3,1,0,0,7,4,0
40,27.869152455465724,3484.126506551375,2,1,1,0,1,9,1,1
36,39.941574011223594,176.47923270453566,2,3,1,1,1,6,4,0
19,139.45933545146417,4289.950585047135,2,2,1,1,1,9,2,1
2,42.20132171466477,2807.4726145587515,0,3,0,1,1,8,2,0
45,155.97399646368106,7921.395256270967,0,3,2,0,0,4,1,0
33,31.143485822982903,6780.642164950216,0,3,2,0,1,2,3,0
64,126.90012605547946,357.24692354218195,0,1,0,0,0,0,4,0
26,142.12677093069186,1528.4401947158995,1,0,0,0,1,1,2,0
34,160.32701317986496,5467.694256626936,0,3,1,1,1,5,4,0
63,179.42581344366658,6219.163143078384,2,3,1,1,0,7,1,0
28,76.20252089057877,7711.9073830602765,0,1,1,1,1,8,1,0
6,149.4496019743432,9686.028638086309,1,2,0,0,0,7,3,0
11,34.531333978495994,7049.005257095832,1,2,1,1,0,1,3,0
46,169.36304408205984,5494.4786361365805,2,0,0,1,1,0,4,1
20,180.24122447383778,4202.810492933681,1,1,1,0,0,9,2,0
36,154.75839319463873,7408.110345628153,1,0,0,0,1,3,2,0
16,70.6393001497926,9354.038828037386,2,3,2,1,0,4,2,1
70,31.221837240628457,4286.80150001511,0,0,0,0,0,9,3,1
45,95.88901732997019,5887.864340986001,1,0,1,1,1,5,2,0
48,68.71441096661115,2149.640601756659,1,3,0,0,1,3,1,0
4,115.43444023034674,8588.922349473312,0,0,1,0,0,4,1,1
48,90.89503711164326,7163.914671211389,2,0,1,1,0,7,2,1
67,44.478113547307544,3611.601672061916,1,3,1,1,0,9,3,0
28,170.60310577603713,8753.072106711123,1,3,1,1,1,2,2,0
30,175.6400312932186,9711.385532361453,2,3,1,1,0,0,1,0
29,166.36614277602297,2956.348091204483,1,0,2,1,1,8,2,1
21,57.86426394121022,1947.6321620992671,0,3,2,1,1,8,4,0
42,97.1286481102787,8335.732478885688,1,1,1,0,0,1,1,1
50,50.8638793522329,5866.060544281494,1,0,0,1,0,2,4,0
3,139.73680613203288,8855.245774354244,1,3,0,0,0,7,3,0
65,164.89637164578673,3540.4271297155387,0,0,2,0,0,2,4,0
23,124.67646727404001,5854.4155753923615,0,1,2,1,1,2,1,0
5,118.29976356347213,5814.398090777673,1,3,1,1,1,5,2,0
25,148.69619535060895,1963.4951939590585,0,3,0,1,1,5,3,0
35,40.44036749532461,9920.123796370804,1,2,0,0,1,6,3,1
65,64.57826086477694,6674.187001566987,2,1,1,0,0,9,4,1
39,76.46217697589022,6675.0389994595025,2,1,0,0,0,3,3,0
18,115.85103215342649,3039.009432053906,1,2,2,0,0,4,4,1
25,195.68484677501428,6538.784270936865,2,1,1,0,1,9,2,0
1,175.3422392598872,8346.46296541857,0,3,0,1,1,2,1,0
62,64.46811826826897,8153.674860657773,1,2,0,0,1,1,2,0
9,61.93723772126349,9205.277760324369,1,0,2,0,0,2,1,1
41,98.41666076018484,1571.913337566914,1,3,1,1,1,2,4,1
22,195.43656673800962,1909.9915656430849,1,1,2,1,0,1,3,0
66,47.4416850660981,7130.670296209157,1,2,0,0,1,0,1,0
45,192.24974548160276,8096.612645816344,2,0,1,0,0,2,4,0
52,54.2754379905182,6775.669673608572,0,2,2,0,0,0,3,1
20,179.55840400617032,1514.2959161363158,2,3,2,1,0,7,3,0
12,169.45164785889116,5989.989108745615,0,3,1,0,1,4,4,0
64,178.81772342869894,7508.97628244946,0,2,0,0,1,5,3,0
32,180.51747333602034,1456.1072240205463,0,2,1,0,0,9,4,0
62,59.26451172804479,652.758874122251,0,1,2,0,1,6,3,0
5,160.1663081228382,2622.500330892987,0,3,2,0,1,6,2,0
44,142.77288991666077,998.4428997431057,1,0,1,1,1,3,1,0
29,178.20583089812538,1570.5398527428067,1,2,1,1,1,5,4,0
33,108.25636384559299,2113.402474936476,1,0,1,1,0,7,4,0
13,94.42162187550585,5353.848905993694,1,2,1,1,1,5,2,1
50,150.72007521023025,1642.9999543203185,2,3,2,1,0,6,3,1
2,68.57185755194376,6086.353489467426,2,2,1,0,0,2,1,1
28,167.60988473927742,2977.5369412228633,1,1,1,0,1,8,1,0
18,71.47631843227916,3174.4939931175536,1,0,2,1,0,9,4,0
66,27.778415942467266,9677.245520121172,0,2,2,0,1,1,1,0
46,119.2661417822036,8071.010253854396,0,3,2,0,0,7,2,1
17,170.47523948614585,4299.010126210338,0,2,1,0,0,7,1,1
33,144.28446853970635,4529.797882705614,1,0,1,1,1,1,1,1
33,198.07260170826248,1236.4472126148491,1,3,0,0,1,8,1,0
30,45.33117870392736,8460.961777844337,2,2,1,0,1,2,4,0
22,82.02194714505853,139.49110005003988,0,1,0,1,0,9,1,0
53,88.3897411998749,1530.3580232722202,0,1,1,0,1,5,3,0
46,30.46692185965851,5387.235813725561,2,1,2,0,0,3,1,1
44,27.740837753346042,1965.4404795415192,0,3,0,1,0,4,3,0
34,25.30011637911841,6364.523356700198,0,2,0,0,0,2,1,0
28,93.598290022824,136.0404618260481,1,3,2,1,1,9,4,1
35,172.0569604743315,1074.2796224921017,2,1,0,0,0,7,1,0
68,147.73583554101205,7670.366439966707,2,3,1,0,0,9,4,1
9,100.41741394873239,5807.562681065917,0,2,0,1,1,9,2,0
22,67.52305659765057,292.6357650651395,2,1,2,0,1,7,2,0
61,22.80260679768383,2137.5606478944683,0,3,1,0,0,6,2,1
25,51.56836489780051,2465.737001653454,0,0,0,1,1,6,1,0
41,89.69402783557501,8505.699662180692,1,1,1,0,0,1,3,0
7,86.68231965333952,5867.121316147607,1,0,0,0,0,9,2,0
59,66.68502711126277,5460.105094901558,0,1,2,1,0,5,2,0
67,199.48326429013014,958.3303825698187,2,2,0,0,0,3,1,0
33,100.52844173639264,6603.752826466347,2,3,2,0,0,8,4,0
65,68.20976135647581,1643.3016137580514,1,0,1,0,0,4,4,0
60,93.27173455575043,5265.2394467530285,0,0,1,0,0,5,2,0
58,70.29439091040663,5967.0905902413715,0,3,1,0,1,6,1,0
44,83.3767363318171,8434.573652262125,1,2,0,0,1,1,3,1
48,42.65757517646469,8083.82592973699,0,0,2,0,0,0,4,0
